ozone,longitude,latitude
24.937503,-121.27110000000002,38.698800000000006
36.643659,-119.74020000000002,36.81360000000001
28.073974,-119.74130000000001,36.705500000000036
26.86707,-121.7333,36.48189999999998
20.557556,-121.9694,37.05080000000006
39.270627000000005,-118.13910000000001,34.712200000000024
30.02069,-119.29080000000002,36.332500000000024
28.830443000000002,-117.12889999999999,32.83639999999994
45.086395,-120.4819,37.301899999999975
22.760294000000002,-117.96799999999999,33.795800000000014
48.713333,-118.7677,36.428600000000046
60.97807,-118.77380000000001,36.56910000000004
18.190979,-122.0786,37.37249999999997
34.105994,-116.72380000000001,34.10720000000002
35.172612,-117.1477,34.05879999999997
20.938806,-120.48200000000001,37.302000000000035
32.668935000000005,-120.8666,37.52270000000005
34.1143,-119.4652,34.7094
19.875459000000003,-121.2688,37.951599999999964
24.254286,-120.65900000000002,35.282999999999994
23.589232000000003,-121.88360000000002,38.01690000000001
17.71431,-122.7091,38.44359999999998
27.942394999999998,-122.0177,39.20250000000003
33.598026000000004,-119.5036,36.59749999999999
26.077026999999998,-121.8422,39.757499999999986
24.468688,-121.3811,38.7122
26.540373,-122.647,38.95600000000004
27.490866,-119.01900000000002,35.35780000000001
28.122981,-120.9461,39.936899999999966
23.944132,-121.77299999999998,38.535200000000096
29.486179,-118.9875,35.43500000000005
34.860335,-119.242,34.44800000000003
23.36789,-120.42910000000002,34.95829999999999
30.238611,-117.57219999999998,33.92150000000004
48.70083,-118.8238,36.498799999999974
32.679896,-118.53,34.38499999999997
24.924635000000002,-118.12769999999999,34.13219999999999
22.353944000000002,-120.43409999999999,34.95069999999996
21.269323,-118.0605,34.014100000000035
25.263603,-121.731,36.480000000000004
35.609082,-117.37710000000001,35.75919999999996
30.43589,-118.40000000000002,37.35380000000004
38.54067,-116.68049999999998,34.50969999999996
30.020780000000002,-119.6523,37.539300000000004
38.505525,-116.85000000000001,34.06659999999999
41.296294999999994,-116.48990000000002,33.8194
29.876378,-120.35900000000001,36.140000000000036
27.647533,-120.18470000000002,39.32739999999996
41.07108,-118.9733,37.647699999999986
84.654676,-116.5,34.313599999999916
39.040795,-117.39730000000002,33.95829999999996
79.155,-116.34270000000001,34.23770000000001
28.154698,-117.27359999999999,34.10660000000003
26.372939000000002,-121.739,38.544999999999966
33.276137999999996,-121.6061,40.58079999999999
22.207984,-117.95220000000002,33.92520000000003
37.864259999999994,-119.2447,34.44579999999997
28.304103,-117.07530000000001,33.12779999999994
27.241827999999998,-117.4922,34.10049999999999
32.641289,-115.43499999999999,32.791899999999984
28.867183,-121.60330000000002,39.12219999999996
28.261251,-117.68800000000002,34.01200000000001
25.15274,-121.68999999999998,38.15600000000001
32.096183,-120.6897,35.626999999999995
39.647546999999996,-117.30360000000002,34.523299999999985
35.149683,-116.9583,33.74159999999999
58.358531,-116.9458,34.03409999999994
32.80127,-117.8763,34.14939999999998
37.60502,-118.85050000000001,35.34580000000003
31.367632999999998,-122.3858,40.584700000000026
23.090589,-121.5752,36.999700000000004
26.88476,-121.4745,38.480299999999964
26.799640999999998,-116.9424,32.790799999999884
26.121063,-120.4793,35.039699999999996
29.903433,-117.4011,33.946300000000036
18.313804,-121.49300000000001,38.58199999999996
21.128331,-120.6916,35.63330000000007
43.265416,-116.0541,34.14370000000002
13.256179999999999,-123.3536,39.413000000000025
27.892315,-119.5869,37.74860000000005
27.746704,-120.4577,34.637700000000024
24.674205,-119.75,36.72519999999997
33.509733,-118.40830000000001,34.104099999999974
20.015974999999997,-121.76579999999998,37.684999999999974
23.110370000000003,-121.29,37.958
13.574699,-123.96659999999999,41.83329999999993
34.622426,-122.09130000000002,39.01249999999997
47.159459,-118.69999999999999,36.20000000000002
22.536969,-122.05610000000001,38.23689999999995
45.077778,-115.18440000000001,33.11879999999993
27.987751000000003,-121.271,38.130000000000095
31.548723000000003,-117.55110000000002,33.93049999999995
29.087090999999997,-116.96190000000001,32.79500000000003
17.237437,-121.8874,37.339999999999975
35.290539,-119.24440000000001,34.44360000000002
27.30536,-118.53269999999999,34.19909999999997
40.958788000000006,-117.4573,34.10609999999994
31.945914,-121.1322,37.37109999999996
24.55641,-121.401,36.85299999999998
44.672774,-116.76830000000001,32.842200000000005
28.267231,-121.1858,38.67499999999999
32.074098,-122.3,40.4516
27.990217,-119.3061,34.37110000000001
27.399374,-117.92389999999999,34.13639999999998
27.887463,-117.6288,34.1033
23.623292,-121.7883,38.67269999999992
22.399632999999998,-118.3169,34.17580000000002
26.539053,-120.9961,37.63880000000003
49.181286,-117.2755,34.24129999999999
35.216714,-116.8583,33.921100000000074
3.766667,-122.0782,37.926599999999944
39.705,-119.84159999999999,37.54659999999996
36.205747,-122.9411,40.73110000000002
32.971475,-119.77100000000002,36.747999999999905
32.966884,-117.2277,33.78880000000006
17.516371,-121.99330000000002,38.35160000000005
26.878261000000002,-118.9133,34.74999999999994
23.043678,-123.63,40.94000000000009
45.915029000000004,-116.9111,34.24380000000004
23.133025,-121.4405,36.51159999999995
28.610888000000003,-119.6592,36.33150000000006
13.517741999999998,-121.567,37.006
32.537837,-115.5631,32.79219999999997
25.198205,-121.1463,37.9052
34.69183700000001,-120.9111,37.82880000000005
42.504597999999994,-115.46049999999998,33.01909999999999
26.309873,-118.9791,35.43110000000001
16.513598000000002,-118.2108,33.92879999999993
17.117739999999998,-123.207,39.14999999999999
30.072016,-117.05920000000002,32.63140000000002
29.0991,-120.0366,36.95470000000002
28.605001,-120.0733,34.60770000000001
31.322638,-117.4152,34.00050000000005
43.966449999999995,-119.6166,35.312500000000085
25.594929999999998,-117.6911,33.627200000000066
18.157456999999997,-120.996,37.63900000000004
18.756725,-120.4319,34.95270000000004
19.373717,-121.9791,37.227999999999945
27.650891,-120.1088,36.34170000000003
20.911929,-117.91380000000001,33.82019999999999
27.921152000000003,-121.3622,36.84329999999997
22.637688,-118.03200000000001,33.978999999999985
48.572618999999996,-118.79300000000002,34.41499999999998
14.196347,-122.71300000000001,38.440999999999995
41.171947,-116.73330000000001,32.998
43.137713,-117.2861,34.41580000000007
18.645061000000002,-122.2941,38.31129999999998
27.807265,-121.2083,38.79189999999999
41.00628,-117.30190000000002,34.12110000000001
36.442074999999996,-120.95410000000001,39.099399999999996
37.874194,-118.773,36.56399999999995
35.669145,-118.77999999999999,34.269000000000005
11.329915,-121.76700000000001,37.68199999999997
28.280466,-118.82440000000001,34.40250000000006
24.135807,-120.65780000000001,35.28220000000002
36.38312,-115.7797,33.70829999999999
25.095933000000002,-121.66940000000001,40.88479999999998
22.650232,-122.4567,38.2989
26.066506999999998,-121.36780000000002,38.61360000000006
10,-122.0219,37.26379999999997
20.810197,-121.84249999999999,37.39159999999997
26.101787,-121.998,39.18879999999998
29.233956,-118.86650000000002,34.19349999999997
21.840353999999998,-122.63359999999999,41.72670000000003
46.713731,-116.18940000000002,34.01800000000004
56.296875,-117.395,33.95300000000005
49.844426,-117.75,34.05829999999996
35.956636,-119.0167,35.43810000000003
18.963178,-117.8669,33.746100000000006
22.114168,-121.63250000000001,36.69860000000001
38.474819000000004,-118.68750000000001,37.112499999999926
24.582521999999997,-121.64129999999999,38.00659999999995
24.631196000000003,-122.0305,37.654099999999914
5.433333,-121.9736,37.88689999999999
18.016322000000002,-121.5161,38.591099999999976
31.641510999999998,-119.14329999999998,34.25409999999994
23.419876,-120.3477,40.9052
28.879063,-122.38080000000001,40.551400000000015
49.636478999999994,-117.5897,34.42499999999994
20.97677,-122.0247,37.93910000000002
23.807458999999998,-120.99419999999999,37.64189999999999
33.463779,-119.8828,36.84170000000002
31.282912000000003,-118.7011,34.27409999999999
25.231029,-121.51910000000001,38.76580000000005
33.573978999999994,-117.8499,34.144399999999976
27.738120000000002,-118.5338,34.38799999999988
18.536725,-121.50960000000002,38.58979999999996
35.131515,-116.2158,33.70830000000001
32.731910000000006,-118.68360000000001,34.2761
42.319876,-115.39,33.1777
25.672967,-122.2077,39.52299999999999
25.957328,-121.96880000000002,38.885
37.365783,-121.10550000000002,38.93940000000004
26.301647000000003,-121.1152,36.2269
21.294359999999998,-117.75,34.06659999999999
19.622265,-118.22670000000001,34.066399999999966
25.416672000000002,-122.9219,39.033000000000044
41.160078000000006,-118.9664,37.645800000000094
33.808182,-119.95880000000001,36.0064
45.250192,-119.4027,35.051299999999934
32.609730000000006,-117.02439999999999,34.89380000000003
24.218358,-121.805,36.572999999999944
43.047047,-118.7758,35.20859999999996
33.494009999999996,-117.3309,33.67630000000005
29.97985,-120.40179999999998,34.92450000000006
48.598099999999995,-118.9566,36.73659999999997
38.152668,-119.8415,37.89330000000001
35.395652,-116.86690000000002,33.04190000000007
30.535869,-120.65489999999998,35.61470000000002
26.112544,-121.2647,38.74609999999991
37.451251,-119.7911,34.541600000000024
23.880485999999998,-121.61909999999999,39.13879999999998
36.400356,-117.32970000000002,34.504100000000015
26.020456,-120.6681,35.49170000000009
34.484646,-120.3786,37.98190000000006
19.585051,-121.8422,37.391300000000015
39.940097,-121.5764,40.53720000000004
25.067576000000003,-121.42080000000001,38.3025
28.208122,-119.2725,35.50360000000001
22.309863999999997,-122,37.059999999999974
33.172888,-121.1717,36.49909999999997
30.259180999999998,-118.87,34.209899999999976
20.602021,-121.8122,38.683
40.265969999999996,-117.36860000000001,35.77419999999999
28.918672,-119.14310000000002,34.25220000000002
36.458529000000006,-120.4258,34.72330000000005
28.917521,-120.7644,38.34269999999999
34.365882,-118.49580000000002,34.42659999999998
26.642989,-120.8364,37.48830000000002
27.47815,-120.53360000000002,35.02080000000001
26.119880000000002,-120.9411,38.67379999999998
14.336588,-121.9243,37.324400000000004
33.419072,-121.27189999999999,37.53829999999995
32.970636,-120.95410000000001,39.09969999999994
31.113452,-120.0388,36.966600000000035
33.912513999999994,-118.39390000000002,37.36159999999996
34.675176,-118.1327,34.68990000000004
27.202335,-121.2169,38.789699999999996
30.880259,-119.7731,36.781899999999986
19.681029,-123.2002,39.144700000000014
20.909095,-121.49360000000001,38.56799999999997
30.069258,-122.25500000000001,40.17139999999999
42.939566,-120.8219,38.72470000000006
48.704184,-119.7058,37.71329999999994
24.672056,-121.5853,38.71330000000001
30.610516,-120.9441,39.93969999999998
27.948037,-117.16610000000001,33.52609999999998
32.887565,-120.4336,37.28170000000004
32.063125,-119.7164,36.81939999999995
21.289551,-123.98120000000002,41.8456999999999
36.288599999999995,-121.007,39.26679999999998
44.314444,-117.8761,33.858
25.570714000000002,-122.2986,40.453100000000056
25.270906,-122.90050000000001,38.65359999999997
45.158434,-118.8286,36.49360000000002
29.007405,-119.5869,37.7502
18.963178,-117.86939999999998,33.75049999999998
29.15763,-116.9602,32.79380000000006
18.514601,-123.3497,39.404399999999995
48.620461,-121.75000000000001,39.15830000000004
44.671385,-118.1478,35.050299999999936
43.871438999999995,-116.0553,34.1419
47.990648,-121.0555,39.233600000000045
30.717292999999998,-119.64359999999999,36.31469999999999
22.8673,-117.84,33.94999999999993
21.972608,-122.01439999999998,37.05220000000004
23.005614,-121.53190000000001,37.739999999999974
28.741268,-122.18969999999999,39.517199999999924
24.258383000000002,-121.5999,37.07940000000001
31.090488,-115.6236,33.032499999999956
33.547933,-120.6802,38.201900000000045
27.204452,-119.0144,35.38529999999997
29.246961,-119.0627,35.35659999999998
28.053223,-121.10290000000002,37.41199999999995
47.34903,-116.8478,36.50889999999997
52.390136,-116.3888,34.069400000000044
23.300554,-121.96270000000001,38.35269999999996
52.041847000000004,-120.84559999999999,39.31810000000001
50.022547,-122.0928,40.26219999999988
28.218024,-121.5341,37.73660000000001
45.656401,-119.26859999999999,37.13829999999999
53.942367,-120.2997,38.050499999999985
51.285333,-118.42499999999998,35.13329999999998
39.908948,-116.8583,33.92079999999999
30.149583,-119.24579999999999,34.41659999999998
32.003494,-115.5453,33.21360000000001
32.264148999999996,-121.16440000000001,38.68299999999999
31.312143,-119.5658,36.10219999999993
47.348619,-121,38.8906
28.179151,-122.2366,40.1748999999999
50.909659000000005,-118.7628,36.42920000000002
37.323443,-121.2277,38.47189999999998
27.908776,-120.01000000000002,36.867200000000004
50.889412,-117.62079999999999,34.2391
40.04059,-117.37219999999999,35.774400000000014
19.477611999999997,-120.99359999999999,37.6422
51.073147999999996,-117.65110000000001,35.00360000000007
58.665986000000004,-118.1116,34.556899999999956
57.574172,-117.56499999999998,34.73749999999999
61.256488999999995,-117.2888,34.611600000000074
22.119218999999998,-121.5144,38.6366
23.507854000000002,-121.7305,38.660500000000056
30.331011,-120.5008,35.03159999999999
39.50473,-116.15770000000002,34.72469999999998
41.00628,-117.2858,34.10220000000007
63.220423,-117.44770000000001,34.37499999999995
30.033451999999997,-117.6755,33.629699999999914
27.617779,-122.0758,38.22689999999992
48.131646,-118.83410000000002,36.49109999999998
25.168683,-120.4355,34.942999999999905
47.745645,-120.0331,38.81170000000005
26.059818,-121.62330000000001,36.69410000000002
22.523952,-121.78,37.679999999999964
43.206001,-121.61770000000001,39.71409999999999
46.080394,-120.23,35.644099999999966
33.364899,-117.325,34.51219999999997
31.094809,-118.5283,34.38329999999997
30.212965,-118.80969999999999,34.40439999999992
21.246258,-122.05110000000002,37.3558
22.723371,-118.21659999999999,34.03520000000003
37.807248,-118.1305,34.67130000000001
19.522316,-121.89470000000001,37.34830000000004
24.623552,-119.5938,37.74300000000005
31.2,-119.82750000000001,36.76690000000005
33.825,-119.76910000000001,36.802999999999955
38.539335,-120.1219,39.18409999999999
53.018147,-120.40660000000001,38.84219999999991
27.237252,-117.9384,33.830600000000004
24.812887,-115.53819999999999,32.9783
23.994873,-121.95,38.35830000000005
28.517037,-120.66880000000002,35.256599999999956
20.596064000000002,-118.0668,34.01020000000005
36.218215,-120.04000000000002,35.220000000000006
31.175532,-121.4405,37.682499999999955
48.167969,-115.8206,33.741099999999996
34.394763000000005,-118.8866,34.816599999999994
28.178838000000002,-117.49330000000002,33.99560000000008
25.924242,-122.1908,39.533800000000035
22.690724999999997,-121.1263,36.20919999999999
22.288122,-121.50670000000001,38.650699999999915
21.70625,-118.205,33.90130000000001
31.9,-122.4021,40.689200000000014
28.133390000000002,-117.521,34.007000000000005
16.534883999999998,-118.78940000000001,35.23659999999998
17.775409999999997,-120.3823,36.6342
